,link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
4435,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2258-s29-magdalena-del-mar-lima-lima-llosa-edificaciones-urban,S29,-12.096069,-77.05514079999999,Av. Salaverry 2900,Magdalena Del Mar,En construcción,"31 de Enero, 2025","Banco BCP, BBVA, Banco Pichincha, Banco Interbank, Banco Scotiabank","['Gimnasio', 'Lobby', 'Piscina', 'Salon Gourmet', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,Tipo 8,"Pisos: 10, 12, 14",1,54.18 m2,"$ 152,307"
778,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2652-larco-791-miraflores-lima-lima-v&v-grupo-inmobiliario,LARCO 791,-12.1258119,-77.0293327,Av. Larco 791 - Miraflores,Miraflores,En construcción,"31 de Diciembre, 2025","Banco BCP, Otros","['Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,Tipo T1-204,Piso: 2,3,75.55 m2,"S/ 806,000"
4571,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3358-central-home-chacarilla-santiago-de-surco-lima-lima-ee-inmobiliaria,Central Home Chacarilla,-12.112760461149128,-76.99036037001652,Cl. Monterrey 319,Santiago De Surco,En planos,"31 de Octubre, 2025",Banco BCP,"['Gimnasio', 'Lobby', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas']",flat,Dpto. 604,Piso: 6,2,82.31 m2,"$ 157,000"
5903,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2065-pinos-san-isidro-lima-lima-actual,Pinos,-12.0954457,-77.0365496,Calle Los Pinos 561,San Isidro,Entrega inmediata,"31 de Diciembre, 2023",Banco BCP,"['Gimnasio', 'Lobby', 'Sala de usos Múltiples', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,TIPO A2,Piso: 1,1,44.88 m2,"S/ 624,200"
5135,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2940-amaranta-pueblo-libre-lima-lima-abril-grupo-inmobiliario,Amaranta,-12.0720557,-77.0628819,Av Bolivar 959,Pueblo Libre,En construcción,"30 de Enero, 2026",Banco Scotiabank,"['Área de juegos para niños', 'Gimnasio', 'Jardin de niños', 'Parque privado', 'Sala Bar', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,AMT - 1704,Piso: 17,3,77.83 m2,"S/ 520,975"
3550,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2780-dorue-surquillo-lima-lima-desarrolladora,DORUÉ,-12.108786,-77.0255908,"Av. Domingo Orué 230, Surquillo",Surquillo,En construcción,"31 de Diciembre, 2025",Otros,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Lobby', 'Parque privado', 'Sala Bar', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,10,Pisos: Entre 7 al 17,2,68.50 m2,"S/ 516,000"
4041,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2511-miramar-etapa-ii-san-bartolo-lima-lima-octagon,Miramar Etapa II,-12.382257666090016,-76.78487423416375,Urbanización Casco Urbano San Bartolo Manzana Z 2 Lote 1,San Bartolo,En construcción,"30 de Septiembre, 2024",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Cancha de Fulbito', 'Club House', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Minimarket', 'Piscina', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,Tipo 2,Piso: 1,2,106.49 m2,"S/ 460,000"
1089,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2054-family-tower-2-bre%C3%B1a-lima-lima-quatro-inmobiliaria,Family Tower 2,-12.0577271,-77.049268,Avenida República de Portugal 686,Breña,Entrega inmediata,"28 de Febrero, 2023",Otros,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Jardin interior', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,F2,Pisos: 17 y 20,3,64.00 m2,"S/ 387,957"
4441,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3024-castellana-173-santiago-de-surco-lima-lima-ee-inmobiliaria,Castellana 173,-12.1304268,-77.0014315,Av. La Castellana 173,Santiago De Surco,En construcción,"30 de Abril, 2025",Banco BANBIF,"['Lobby', 'Terraza', 'Zona de Parrillas']",flat,Tipo 1,"Pisos: 3, 5, 6, 7",3,78.95 m2,"$ 155,000"
5818,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2570-henko-miraflores-lima-lima-inarco,HENKO,-12.1294641,-77.0258832,"Ca. Grimaldo Del Solar 701, esquina Ca. Manco Capac",Miraflores,En construcción,"15 de Marzo, 2025",BBVA,"['Gimnasio', 'Lobby', 'Piscina', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,TIPO 4,"Pisos: 3, 4, 5, 7",1,63.23 m2,"S/ 730,000"
681,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3347-maximo-abril-jesus-maria-lima-lima-abril-grupo-inmobiliario,Máximo Abril,-12.071303,-77.0396927,Calle Máximo Abril 576,Jesus Maria,En planos,"30 de Noviembre, 2026",Banco Scotiabank,"['Areas verdes', 'Gimnasio', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Zona de Parrillas']",flat,MAX-102,Piso: 1,2,80.38 m2,"S/ 458,166"
446,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2849-vivapark-san-miguel-lima-lima-ecohabitat-desarrollo-inmobiliario,Vivapark,-12.0744566,-77.0959596,Alfredo Icaza Contreras 185,San Miguel,En planos,"01 de Noviembre, 2025",Banco BANBIF,"['Lobby', 'Otros']",duplex,TIPO D01,Piso: 6,4,155.12 m2,"S/ 814,614"
5064,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2730-emerald-pueblo-libre-2-pueblo-libre-lima-lima-fai-inmobiliaria,Emerald Pueblo Libre 2,-12.076693493713218,-77.0567324978256,Calle Jose Ugarteche 103 Pueblo Libre,Pueblo Libre,En construcción,"31 de Octubre, 2025",Banco BCP,"['Jardin de niños', 'Lobby', 'Sala Bar', 'Sala de Niños', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,X8,"Pisos: 6, 7, 9",3,69.73 m2,"S/ 469,644"
5298,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3215-urban-heights-miraflores-lima-lima-edifica,Urban Heights,-12.1289342,-77.0225608,Avenida Paseo De La Republica 6143,Miraflores,En planos,"01 de Junio, 2026",Financiamiento Propio,"['Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Zona de Lavandería', 'Otros']",flat,A4,Pisos: Entre 12 al 19,1,57.39 m2,"S/ 600,502"
2613,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2649-brasil-1396-pueblo-libre-lima-lima-icasa-inmobiliaria,BRASIL 1396,-12.072784357951802,-77.05229001995158,Av. Brasil 1396,Pueblo Libre,En construcción,"31 de Mayo, 2025",Financiamiento Propio,"['Área de juegos para niños', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,MODELO 2K,Piso: 8,3,82.80 m2,"S/ 607,960"
2469,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2775-park-prado-la-victoria-lima-lima-gdc-inmobiliaria,Park Prado,-12.090106399953376,-77.02012972487617,Av Javier Prado Este 1035,La Victoria,En construcción,"31 de Julio, 2026",BBVA,"['Gimnasio', 'Karaoke', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Niños', 'Sauna', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,X03,Piso: 20,3,73.29 m2,"S/ 561,142"
3558,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2780-dorue-surquillo-lima-lima-desarrolladora,DORUÉ,-12.108786,-77.0255908,"Av. Domingo Orué 230, Surquillo",Surquillo,En construcción,"31 de Diciembre, 2025",Otros,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Lobby', 'Parque privado', 'Sala Bar', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,2008,Piso: 20,2,65.00 m2,"S/ 499,000"
4190,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2964-look-surquillo-surquillo-lima-lima-mahpsa--corporacion-inmobiliaria,Look Surquillo,-12.1193131,-77.0189623,Av. Mariscal Cáceres 621,Surquillo,En construcción,"30 de Septiembre, 2024",Banco BCP,"['Lobby', 'Piscina', 'Sala de cine', 'Sala de Internet', 'Sala de Niños', 'Salon Gourmet', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas']",flat,x09,Piso: 11,1,35.87 m2,"S/ 267,181"
5005,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3180-mum-363-magdalena-del-mar-lima-lima-tale-inmobiliaria,MUM 363,-12.0949881,-77.0552728,Av. Javier Prado Oeste 2291,Magdalena Del Mar,En planos,"31 de Diciembre, 2026",Otros,"['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Piscina', 'Sala de Niños', 'Salon Gourmet', 'Zona de Parrillas', 'Otros']",flat,X1217,Piso: 12,2,71.37 m2,"S/ 617,000"
2890,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3006-los-parques-de-san-juan-san-juan-de-lurigancho-lima-lima-besco,LOS PARQUES DE SAN JUAN,-12.0178544,-76.9985631,Av. Portada Del Sol N°870 / 1050,San Juan De Lurigancho,En planos,"31 de Diciembre, 2024",BBVA,"['Areas verdes', 'Club House', 'Sala de Niños', 'Sala de usos Múltiples', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,ETAPA 2 - TORRE 4 - FLAT - Tipo 5- P1,Piso: 1,3,65.50 m2,"S/ 306,700"
1215,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2759-residencial-valenti-pueblo-libre-lima-lima-barqueros-inmobiliaria,Residencial Valenti,-12.0694418,-77.0679439,Calle América 260 - Pueblo libre,Pueblo Libre,En construcción,"30 de Junio, 2025",Banco BCP,"['Gimnasio', 'Lobby', 'Salon Gourmet', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,TIPO 6,Pisos: Entre 1 al 11,1,50.69 m2,"S/ 321,871"
42,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2769-patio-la-paz-san-miguel-lima-lima-paz,Patio La Paz,-12.079547136588465,-77.10609539017598,Av. La Paz 2551,San Miguel,En planos,"30 de Diciembre, 2025",Banco Interbank,"['Área de juegos para niños', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala de Niños', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,A7A,Piso: 1,3,86.20 m2,"S/ 412,565"
5762,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2817-kora-san-miguel-lima-lima-dkasa,Kora,-12.078791763493006,-77.10359574475686,Jirón Pascual de Andagoya 393,San Miguel,En construcción,"31 de Diciembre, 2024",Banco BCP,['Lobby'],flat,TIPO 02,"Pisos: 3, 6, 10",2,62.22 m2,"S/ 385,321"
1197,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2198-amalfi-san-miguel-lima-lima-paz,Amalfi,-12.0808219,-77.10702959999999,Av. Costanera 2558,San Miguel,En construcción,"31 de Julio, 2024",Banco Pichincha,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Boulevard peatonal', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Internet', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,25,"Pisos: 12, 13, 15, 17",3,67.98 m2,"S/ 403,087"
4938,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2504-varela-living-bre%C3%B1a-lima-lima-grupo-tyc,VARELA LIVING,-12.0670046,-77.0528144,General Felipe Varela 1960,Breña,Entrega inmediata,"31 de Marzo, 2022",Financiamiento Propio,"['Área de juegos para niños', 'Club House', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala de Niños', 'Sala de usos Múltiples', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",duplex,TIPO 2A,Piso: 16,2,111.03 m2,"S/ 616,147"
5147,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2940-amaranta-pueblo-libre-lima-lima-abril-grupo-inmobiliario,Amaranta,-12.0720557,-77.0628819,Av Bolivar 959,Pueblo Libre,En construcción,"30 de Enero, 2026",Banco Scotiabank,"['Área de juegos para niños', 'Gimnasio', 'Jardin de niños', 'Parque privado', 'Sala Bar', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,AMT - 304 y 404,Pisos: 3 y 4,3,78.48 m2,"S/ 504,994"
2467,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2824-velvet-pueblo-libre-lima-lima-beca-inmobiliaria,Velvet,-12.069954,-77.06865599999999,General Ramón Pizarro 430,Pueblo Libre,En construcción,"31 de Diciembre, 2024",Banco Scotiabank,"['Lobby', 'Terraza', 'Zona de Parrillas']",duplex,Tipo 7,Piso: 11,3,112.30 m2,"S/ 752,000"
2839,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2244-astoria-jesus-maria-lima-lima-arteco,Astoria,-12.0714477473403,-77.03876676822587,Av. República de Chile 699,Jesus Maria,Entrega inmediata,"01 de Abril, 2024",Banco BCP,"['Área de juegos para niños', 'Gimnasio', 'Jardin de niños', 'Jardin interior', 'Lobby', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,Tipo 2,Pisos: 6 y 14,3,76.63 m2,"S/ 594,000"
6397,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2635-art-28-miraflores-lima-lima-edifica,ART 28,-12.1282224,-77.0255233,Av. 28 Julio 815 Miraflores,Miraflores,En construcción,"31 de Enero, 2025",Financiamiento Propio,"['Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Zona de Lavandería', 'Otros']",flat,12,"Pisos: 12, 13, 14, 15",1,35.29 m2,"S/ 439,879"
49,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2727-concepto-urban-park-ii-cercado-de-lima-lima-lima-imagina,Concepto Urban Park,-12.0758939,-77.03461109999999,Av. Petit Thouars 1140,Cercado de lima,Entrega inmediata,"30 de Junio, 2024",Banco Scotiabank,"['Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de cine', 'Sala de Niños', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,3D,Pisos: 18 y 19,3,86.38 m2,"S/ 610,148"
5285,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1740-hills-camacho-santiago-de-surco-lima-lima-grupo-t&c,HILLS CAMACHO,-12.078566200280472,-76.96516147133944,Av. javier prado este 294,Santiago De Surco,Entrega inmediata,"30 de Junio, 2024",Financiamiento Propio,"['Área de juegos para niños', 'Cuarto servicio', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Niños', 'Sala de usos Múltiples', 'Salon Gourmet', 'Terraza', 'Zona de Parrillas']",flat,TIPO 7,Piso: 3,3,119.43 m2,"S/ 995,906"
3407,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3225-residencial-sienna-pueblo-libre-lima-lima-jk-inversiones-inmobiliarias,Residencial SIENNA,-12.0729067,-77.06636259999999,Jiron General Clovis 627,Pueblo Libre,En planos,"31 de Diciembre, 2025",Banco BCP,"['Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Zona de Parrillas', 'Otros']",flat,C,"Pisos: 2, 5, 6, 7, 8",1,41.46 m2,"S/ 298,000"
1131,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2487-libertad-san-miguel-lima-lima-capac-asociados,Libertad,-12.0793846,-77.1040247,Av Libertad 2401,San Miguel,En planos,"30 de Noviembre, 2025",Banco Pichincha,"['Gimnasio', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Techo Panorámico', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,BX103,Piso: 1,1,51.75 m2,"S/ 247,000"
643,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2846-san-felipe-towers-jesus-maria-lima-lima-vive-plm,San Felipe Towers,-12.082636800186645,-77.05047192092127,Av. San Felipe 720 esquina Jr. Huascar,Jesus Maria,Entrega inmediata,"31 de Agosto, 2024",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Techo Panorámico', 'Techos Ecológicos', 'Terraza', 'Video vigilancia', 'Zona de Parrillas']",flat,Gold T7,"Pisos: 15, 16, 17",2,66.10 m2,"S/ 538,100"
5144,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2940-amaranta-pueblo-libre-lima-lima-abril-grupo-inmobiliario,Amaranta,-12.0720557,-77.0628819,Av Bolivar 959,Pueblo Libre,En construcción,"30 de Enero, 2026",Banco Scotiabank,"['Área de juegos para niños', 'Gimnasio', 'Jardin de niños', 'Parque privado', 'Sala Bar', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,AMT - 2203,Piso: 22,2,61.46 m2,"S/ 414,559"
2580,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2164-thu-miraflores-lima-lima-cantabria,Thu,-12.117073618264442,-77.04038586442256,Calle Enrique Palacios 1133,Miraflores,En construcción,"30 de Mayo, 2024","BBVA, Otros","['Areas verdes', 'Boulevard peatonal', 'Cuarto servicio', 'Jardin interior', 'Lobby', 'Parque privado', 'Piscina', 'Sala Bar', 'Sala de Niños', 'Sala de usos Múltiples', 'Techo Panorámico', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",flat,TIPO 4,"Pisos: 2, 5, 6, 9",2,81.68 m2,"S/ 830,000"
5352,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2965-santorini-cercado-de-lima-lima-lima-brazil-grupo-inmobiliario,Santorini,-12.073561795487,-77.03112064660345,Av. Alejandro Tirado 731,Cercado de lima,En construcción,"01 de Marzo, 2026",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Boulevard peatonal', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de cine', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,S28,"Pisos: 3, 4, 5",3,77.00 m2,"S/ 484,696"
3492,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3402-nuna-miraflores-lima-lima-llosa-edificaciones-urban,NUNA,-12.1082176,-77.03357179999999,General borgoño 1102,Miraflores,En construcción,"31 de Julio, 2025",Banco BCP,"['Gimnasio', 'Lobby', 'Zona de Parrillas']",duplex,5,Piso: 1,2,93.63 m2,"$ 239,057"
4366,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2661-palm-living-san-isidro-lima-lima-grupo-t&c,PALM LIVING,-12.0927056,-77.0385929,Calle las Palmeras 291-San Isidro,San Isidro,En construcción,"31 de Octubre, 2026",Financiamiento Propio,"['Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala de Niños', 'Sala de usos Múltiples', 'Salon Gourmet', 'Terraza', 'Otros']",flat,TIPO 12,"Pisos: 15, 16, 17, 18, 19",2,75.18 m2,"S/ 665,059"
5330,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2620-midtown-la-victoria-lima-lima-arteco,Midtown,-12.087856099950043,-77.01112388075396,"Jirón Luis Sáenz 180, La Victoria 15034",La Victoria,En construcción,"31 de Diciembre, 2024",Banco Interbank,"['Área de juegos para niños', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Sala Bar', 'Sala de cine', 'Sala de Internet', 'Sala de Niños', 'Sala de usos Múltiples', 'Salon Gourmet', 'Techo Panorámico', 'Terraza', 'Zona de Parrillas']",flat,TIPO 4,Piso: 14,3,63.91 m2,"S/ 522,000"
987,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2762-monte-mayor-177-santiago-de-surco-lima-lima-grupo-edifikarte,MONTE MAYOR 177,-12.1144915,-76.9868623,Monte Mayor 177 Surco,Santiago De Surco,Entrega inmediata,"31 de Agosto, 2024",Banco BCP,"['Areas verdes', 'Cuarto servicio', 'Lobby', 'Video vigilancia']",duplex,D,Piso: 7,3,171.49 m2,"S/ 1,495,000"
1161,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3289-marina-city-center-san-miguel-lima-lima-inverdes,Marina City Center,-12.07574716789446,-77.09247194744486,Av. Rafael Escardo Aguirre N° 530,San Miguel,En construcción,"31 de Diciembre, 2025",BBVA,"['Lobby', 'Parque privado', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Terraza', 'Video vigilancia', 'Zona de Parrillas']",flat,Tipo 1,Pisos: Entre 5 al 19,1,49.55 m2,"S/ 343,529"
3240,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2583-top-818-surquillo-lima-lima-inhouse,TOP 818,-12.1191429,-77.00485929999999,Av principal 818,Surquillo,En construcción,"31 de Diciembre, 2024",Banco Interbank,"['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Sala Bar', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,203,Piso: 2,2,47.72 m2,"S/ 359,994"
